scenario_id,scenario_name,year,category_id,category,domain,baseline_kgco2e_per_capita,adoption_fraction,combined_reduction_fraction,emissions_kgco2e_per_capita,reduction_kgco2e_per_capita
S1,Scenario 1,2027,local_transport_passenger_transport_by_sea,Local transport - Passenger transport by sea,Local transport,75.27207,0.0,0.0,75.27207,0.0
S1,Scenario 1,2027,other_consumption_other_appliances_and_products_for_personal_care,Other consumption - Other appliances and products for personal care,Other consumption,72.39924,0.0,0.0,72.39924,0.0
S1,Scenario 1,2027,housing_electricity,Housing - Electricity,Housing,57.17375,0.0,0.0,57.17375,0.0
S1,Scenario 1,2027,housing_direct_emissions_from_heating,Housing - Direct emissions from heating,Housing,50.47222,0.0,0.0,50.47222,0.0
S1,Scenario 1,2027,leisure_sport_and_culture_garden_products_plants_and_flowers,"Leisure, sport and culture - Garden products, plants and flowers","Leisure, sport and culture",55.99662,0.0,0.0,55.99662,0.0
S1,Scenario 1,2027,food_and_drink_fish_and_seafood,Food and drink - Fish and seafood,Food and drink,56.70087,0.0,0.0,56.70087,0.0
S1,Scenario 1,2027,clothing_and_shoes_shoes_and_other_footwear,Clothing and shoes - Shoes and other footwear,Clothing and shoes,50.41063,0.0,0.0,50.41063,0.0
S1,Scenario 1,2027,other_consumption_information_and_communication_services,Other consumption - Information and communication services,Other consumption,47.86256,0.0,0.0,47.86256,0.0
S1,Scenario 1,2027,other_consumption_household_appliances,Other consumption - Household appliances,Other consumption,42.5664,0.0,0.0,42.5664,0.0
S1,Scenario 1,2027,other_consumption_goods_and_services_for_household_maintenance,Other consumption - Goods and services for household maintenance,Other consumption,42.47462,0.0,0.0,42.47462,0.0
S1,Scenario 1,2027,food_and_drink_wine,Food and drink - Wine,Food and drink,39.43027,0.0,0.0,39.43027,0.0
S1,Scenario 1,2027,local_transport_public_transport_and_other_combined_trips,Local transport - Public transport and other combined trips,Local transport,41.17072,0.0,0.0,41.17072,0.0
S1,Scenario 1,2027,leisure_sport_and_culture_recreation_and_sport_services,"Leisure, sport and culture - Recreation and sport services","Leisure, sport and culture",38.68849,0.0,0.0,38.68849,0.0
S1,Scenario 1,2027,leisure_sport_and_culture_games_toys_and_hobby_articles,"Leisure, sport and culture - Games, toys and hobby articles","Leisure, sport and culture",38.33197,0.0,0.0,38.33197,0.0
S1,Scenario 1,2027,food_and_drink_oils_and_fats,Food and drink - Oils and fats,Food and drink,37.36086,0.0,0.0,37.36086,0.0
S1,Scenario 1,2027,local_transport_maintenance_and_repairs,Local transport - Maintenance and repairs,Local transport,33.37569,0.0,0.0,33.37569,0.0
S1,Scenario 1,2027,food_and_drink_fruit_and_vegetable_juices,Food and drink - Fruit and vegetable juices,Food and drink,34.04544,0.0,0.0,34.04544,0.0
S1,Scenario 1,2027,leisure_sport_and_culture_pets_and_pet_products,"Leisure, sport and culture - Pets and pet products","Leisure, sport and culture",30.02136,0.0,0.0,30.02136,0.0
S1,Scenario 1,2027,other_consumption_accommodation_services,Other consumption - Accommodation services,Other consumption,29.12607,0.0,0.0,29.12607,0.0
S1,Scenario 1,2027,food_and_drink_tobacco,Food and drink - Tobacco,Food and drink,30.00426,0.0,0.0,30.00426,0.0
S1,Scenario 1,2027,leisure_sport_and_culture_major_durable_goods_for_leisure,"Leisure, sport and culture - Major durable goods for leisure","Leisure, sport and culture",28.39759,0.0,0.0,28.39759,0.0
S1,Scenario 1,2027,leisure_sport_and_culture_games_of_chance_betting_and_lotteries,"Leisure, sport and culture - Games of chance, betting and lotteries","Leisure, sport and culture",26.75462,0.0,0.0,26.75462,0.0
S1,Scenario 1,2027,other_consumption_glassware_tableware_and_other_utensils,"Other consumption - Glassware, tableware and other utensils",Other consumption,26.46434,0.0,0.0,26.46434,0.0
S1,Scenario 1,2027,housing_maintenance_repair_and_security,"Housing - Maintenance, repair and security",Housing,23.56363,0.0,0.0,23.56363,0.0
S1,Scenario 1,2027,food_and_drink_soft_drinks,Food and drink - Soft drinks,Food and drink,26.06581,0.0,0.0,26.06581,0.0
S1,Scenario 1,2027,other_consumption_hairdressing_salons_and_personal_grooming_establishments,Other consumption - Hairdressing salons and personal grooming establishments,Other consumption,25.57508,0.0,0.0,25.57508,0.0
S1,Scenario 1,2027,housing_imputed_rent_for_holiday_homes_other_dwellings_garages_and_storage,"Housing - Imputed rent for holiday homes, other dwellings, garages and storage",Housing,24.46403,0.0,0.0,24.46403,0.0
S1,Scenario 1,2027,leisure_sport_and_culture_equipment_for_sport_camping_and_outdoor_recreation,"Leisure, sport and culture - Equipment for sport, camping and outdoor recreation","Leisure, sport and culture",23.05441,0.0,0.0,23.05441,0.0
S1,Scenario 1,2027,other_consumption_household_textiles,Other consumption - Household textiles,Other consumption,22.88734,0.0,0.0,22.88734,0.0
S1,Scenario 1,2027,local_transport_spare_parts_and_accessories,Local transport - Spare parts and accessories,Local transport,21.64835,0.0,0.0,21.64835,0.0
S1,Scenario 1,2027,local_transport_road_transport_services_car_pools_buses_and_taxis,"Local transport - Road transport services: car pools, buses and taxis",Local transport,24.06002,0.0,0.0,24.06002,0.0
S1,Scenario 1,2027,other_consumption_home_and_garden_tools,Other consumption - Home and garden tools,Other consumption,20.05375,0.0,0.0,20.05375,0.0
S1,Scenario 1,2027,other_consumption_financial_services,Other consumption - Financial services,Other consumption,19.67818,0.0,0.0,19.67818,0.0
S1,Scenario 1,2027,local_transport_company_car_benefit,Local transport - Company-car benefit,Local transport,18.5096,0.0,0.0,18.5096,0.0
S1,Scenario 1,2027,food_and_drink_coffee_and_coffee_substitutes,Food and drink - Coffee and coffee substitutes,Food and drink,19.9522,0.0,0.0,19.9522,0.0
S1,Scenario 1,2027,clothing_and_shoes_other_garments_and_clothing_accessories,Clothing and shoes - Other garments and clothing accessories,Clothing and shoes,16.67224,0.0,0.0,16.67224,0.0
S1,Scenario 1,2027,local_transport_rental_of_personal_transport_equipment,Local transport - Rental of personal transport equipment,Local transport,14.95851,0.0,0.0,14.95851,0.0
S1,Scenario 1,2027,food_and_drink_strong_beer,Food and drink - Strong beer,Food and drink,15.00377,0.0,0.0,15.00377,0.0
S1,Scenario 1,2027,other_consumption_other_personal_effects_n_e_c,Other consumption - Other personal effects n.e.c.,Other consumption,14.23978,0.0,0.0,14.23978,0.0
S1,Scenario 1,2027,food_and_drink_spirits,Food and drink - Spirits,Food and drink,13.04753,0.0,0.0,13.04753,0.0
S1,Scenario 1,2027,other_consumption_jewellery_and_watches,Other consumption - Jewellery and watches,Other consumption,12.24788,0.0,0.0,12.24788,0.0
S1,Scenario 1,2027,local_transport_passenger_transport_by_rail_and_tram,Local transport - Passenger transport by rail and tram,Local transport,12.47695,0.0,0.0,12.47695,0.0
S1,Scenario 1,2027,local_transport_bicycles,Local transport - Bicycles,Local transport,11.50822,0.0,0.0,11.50822,0.0
S1,Scenario 1,2027,other_consumption_outpatient_dental_services,Other consumption - Outpatient dental services,Other consumption,10.06935,0.0,0.0,10.06935,0.0
S1,Scenario 1,2027,other_consumption_other_services,Other consumption - Other services,Other consumption,9.468639,0.0,0.0,9.468639,0.0
S1,Scenario 1,2027,other_consumption_medical_aids_and_maintenance,Other consumption - Medical aids and maintenance,Other consumption,9.377794,0.0,0.0,9.377794,0.0
